,text
0,"So all you that say Trump never downplayed covid19, your really saying Woodward lied, somehow got Trump's voice, or… https://t.co/2bjFjPn8R2"
1,Coronavirus: Yorkshire quartet out of T20 Blast group games after positive test https://t.co/cx7nYKBuZd
2,CDC: Almost all of the US kids and teens who've died from COVID-19 were Hispanic or Black https://t.co/329k2q0ipU v… https://t.co/W2Y9UMSpeO
3,FELLOW SOUTH AFRICANS MUST ONE DAY TELL UKUTHI how did they get convinced about COVID-19 FAKENDEMIC LOCKDOWN. I tho… https://t.co/yin7v8jujL
4,"Ahmedabad adds 165 COVID-19 cases, taking tally to 34,237; toll rises to 1,784 with three more deaths: Gujarat health department"
5,We are getting so close.  Keep spreading https://t.co/08vAkfl0os
6,"Prof Sucharita Sen @JNU_IN explains how inflation, lack of social security, greater job-loss affected… https://t.co/hcoS9tQhqr"
7,Worcester among 17 Mass. communities at high risk of COVID-19 https://t.co/LSuuDiiXC5
8,Anyone with any brain would have known this would happen.. https://t.co/ySoR4fkQdL
9,MULTIPLE WHITE HOUSE STAFF TEST POSITIVE FOR CORONAVIRUS
10,"Collaborative approach to solving problem is the way forward. 

As pointed here, often policy makers are distracted… https://t.co/FDU0rORmfL"
11,"⁦@evans_reanne⁩

Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms… https://t.co/O50KuAq8sN"
12,"Dear @MOISaudiArabia , Can you please clarify the 48 hours covid-19 test condition for arrival passengers, should i… https://t.co/Saddx3tr62"
13,Eight people in Indonesia refused to wear face masks. They were ordered to dig graves for COVID-19 victims as punis… https://t.co/aGBfHPiHEx
14,"""Lock-Him-Up""!That's what all these Democrat Govs+Mayors told their States+Cities Citizens,IF DON'T OBEY ME,YOUR GE… https://t.co/OivJesPNha"
15,"Not enough Covid-19 vaccines for return to normal until 2022: WHO scientist

https://t.co/sczM6ynrkf"
16,It's tough to tell COVID-19 from smoke inhalation symptoms — and flu season's coming https://t.co/eCgafrlqX7
17,This👇 We need more Daniel Dale! https://t.co/eyJhrA1qLF
18,"#LiamGallagher Mock The #UKGovernment Over #Coronavirus Policy - Net Worth, Tours, &amp; Married Life
https://t.co/I5xcypNdug"
19,"@shashishekhar Love reading? 
Then do check out the blog made especially for you. 
https://t.co/PJhVmxznBw… https://t.co/mSUqZjlZFg"
20,I’m so glad they’re finally locking down to keep all my israeli bbs safe but this is so extra I love it https://t.co/fpVYfsAwyv
21,"#Iran #news in brief, Sept15, 2020 https://t.co/RdKsdlJf9z via @YouTube #قیام_تنها_جوابه #CoronaVirus… https://t.co/iHmdnZZQr3"
22,@offclASTRO help!Appeal to help those who were chased by the CCP who knew the truth about Wuhan covid-19… https://t.co/uf8tNXxvZH
23,"Rest well, Mary. We'll take it from here. https://t.co/B9ukhQBvhS"
24,"Unconscionable.

The Trump administration is skipping out on the bill for mailing Trump-praising postcards… https://t.co/BVibC2o2Df"
25,CFIA scientific studies confirm that domestic poultry and swine do not pose a public health risk of transmitting CO… https://t.co/zkIN4Bmxvw
26,"This is not fair 😂 

@jaysonrogue @Biisi96 @Sonjoe_Kutuh @DONJAZZY 

#Innoson #LayconGoingNowhere #OZOisWinning… https://t.co/NIwF1oIOPD"
27,CDC Dir today: a COVID19 vaccines in a year or more away. Trump stop lyinggg. https://t.co/lT5GNRhTlP
28,@kiwicom247 respect your policies. Refund your clients instead of offering vouchers #covid19 #travelban @kkiwi_kkiwi https://t.co/MYKC1Jbdjc
29,"#Punjab records 2,717 new #COVID19 cases and 78 deaths, taking the total number of cases to 87,184 

#CoronavirusOutbreak"
30,Police officers posted TikTok videos in uniform about the coronavirus https://t.co/5mNyrrrQKt
31,Analysis | Trump’s incoherent defense of his coronavirus response   https://t.co/YYTtvvJkbB
32,"(Almost) unbelievably, yesterday the @nola_catholics newspaper, @ClarionHerald, published a pro-CTE—i.e. youth foot… https://t.co/ysAxXbVAWE"
33,Trump falsely claims he’s ‘substantially below’ his coronavirus death projections – then tries to blame ‘blue state… https://t.co/KkJhR10QVN
34,We have resumed &amp; we are active! #SerumInstitute #CovidVaccine https://t.co/kbRyclVSqZ
35,Wearing glasses may reduce the risk of contracting coronavirus.  Cats and dogs wearing glasses is kinda trendy.… https://t.co/Jr3eMQrt7R
36,"One of our election campaign promises was “Dou Nahi, Aik Pakistan” i.e. One Pakistan for rich &amp; poor alike. Opposit… https://t.co/RccVqEwkDm"
37,in Indonesia's Java punishment for not wearing masks is digging graves for Covid-19 victims. maybe we should do thi… https://t.co/d1wNQhBb6V
38,The police should abandon everyone. Let them fend for themselves and then you’re going to see how quickly they run… https://t.co/DF3SqgjHjJ
39,COVID Testing This Week: Mobile testing units are up and running this week (9/14-9/18)! Find a location near you an… https://t.co/sp2j93I6du
