,text,ttext,nstop
0,"so all you that say trump never downplayed covid19, your really saying woodward lied, somehow got trump's voice, or… ","['so', 'all', 'you', 'that', 'say', 'trump', 'never', 'downplayed', 'covid19', ',', 'your', 'really', 'saying', 'woodward', 'lied', ',', 'somehow', 'got', 'trump', ""'s"", 'voice', ',', 'or', '…']","['all', 'that', 'trump', 'downplayed', 'covid19', ',', 'really', 'saying', 'woodward', 'lied', ',', 'got', 'trump', 'voice', ',', '…']"
1,coronavirus: yorkshire quartet out of t20 blast group games after positive test ,"['coronavirus', ':', 'yorkshire', 'quartet', 'out', 'of', 't20', 'blast', 'group', 'games', 'after', 'positive', 'test']","['coronavirus', ':', 'yorkshire', 'quartet', 'of', 't20', 'blast', 'group', 'games', 'positive', 'test']"
2,cdc: almost all of the us kids and teens who've died from covid-19 were hispanic or black  v… ,"['cdc', ':', 'almost', 'all', 'of', 'the', 'us', 'kids', 'and', 'teens', 'who', ""'ve"", 'died', 'from', 'covid-19', 'were', 'hispanic', 'or', 'black', ' ', 'v', '…']","['cdc', ':', 'all', 'the', 'kids', 'teens', ""'ve"", 'died', 'covid-19', 'hispanic', 'black', ' ', 'v', '…']"
3,fellow south africans must one day tell ukuthi how did they get convinced about covid-19 fakendemic lockdown. i tho… ,"['fellow', 'south', 'africans', 'must', 'one', 'day', 'tell', 'ukuthi', 'how', 'did', 'they', 'get', 'convinced', 'about', 'covid-19', 'fakendemic', 'lockdown', '.', 'i', 'tho', '…']","['fellow', 'south', 'africans', 'one', 'day', 'tell', 'ukuthi', 'did', 'get', 'convinced', 'covid-19', 'fakendemic', 'lockdown', '.', 'tho', '…']"
4,"ahmedabad adds 165 covid-19 cases, taking tally to 34,237; toll rises to 1,784 with three more deaths: gujarat health department","['ahmedabad', 'adds', '165', 'covid-19', 'cases', ',', 'taking', 'tally', 'to', '34,237', ';', 'toll', 'rises', 'to', '1,784', 'with', 'three', 'more', 'deaths', ':', 'gujarat', 'health', 'department']","['ahmedabad', 'adds', '165', 'covid-19', 'cases', ',', 'taking', 'tally', '34,237', ';', 'toll', 'rises', '1,784', 'three', 'deaths', ':', 'gujarat', 'health', 'department']"
5,we are getting so close.  keep spreading ,"['we', 'are', 'getting', 'so', 'close', '.', ' ', 'keep', 'spreading']","['are', 'getting', 'close', '.', ' ', 'spreading']"
6,"prof sucharita sen  explains how inflation, lack of social security, greater job-loss affected… ","['prof', 'sucharita', 'sen', ' ', 'explains', 'how', 'inflation', ',', 'lack', 'of', 'social', 'security', ',', 'greater', 'job', '-', 'loss', 'affected', '…']","['prof', 'sucharita', 'sen', ' ', 'explains', 'inflation', ',', 'lack', 'social', 'security', ',', 'greater', 'job', '-', 'loss', 'affected', '…']"
7,worcester among 17 mass. communities at high risk of covid-19 ,"['worcester', 'among', '17', 'mass', '.', 'communities', 'at', 'high', 'risk', 'of', 'covid-19']","['worcester', '17', 'mass', '.', 'communities', 'high', 'risk', 'covid-19']"
8,anyone with any brain would have known this would happen.. ,"['anyone', 'with', 'any', 'brain', 'would', 'have', 'known', 'this', 'would', 'happen', '..']","['with', 'brain', 'have', 'known', 'would', 'happen', '..']"
9,multiple white house staff test positive for coronavirus,"['multiple', 'white', 'house', 'staff', 'test', 'positive', 'for', 'coronavirus']","['multiple', 'white', 'house', 'staff', 'test', 'positive', 'coronavirus']"
10,"collaborative approach to solving problem is the way forward. as pointed here, often policy makers are distracted… ","['collaborative', 'approach', 'to', 'solving', 'problem', 'is', 'the', 'way', 'forward', '.', 'as', 'pointed', 'here', ',', 'often', 'policy', 'makers', 'are', 'distracted', '…']","['collaborative', 'approach', 'solving', 'problem', 'the', 'way', 'forward', '.', 'pointed', ',', 'policy', 'makers', 'distracted', '…']"
